"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J2800,"Injection, methocarbamol, up to 10 ml",Methocarbamol*,Methocarbamol*,"$84,466","2,639","2,489","1,389",$32.01,$33.94,$60.81,"$104,770","2,949","2,822","1,385",$35.53,$37.13,$75.65,"$108,777","2,460","2,332","1,117",$44.22,$46.65,$97.38,"$488,013","12,479","11,206","7,800",$39.11,$43.55,$62.57,"$68,192","1,854","1,575",895,$36.78,$43.30,$76.19,$37.94,-5.95%,3.54%
J2805,"Injection, sincalide, 5 micrograms",Kinevac,Sincalide,"$602,122","9,126","9,080","9,044",$65.98,$66.31,$66.58,"$486,359","6,066","6,030","6,011",$80.18,$80.66,$80.91,"$583,181","7,086","7,021","7,002",$82.30,$83.06,$83.29,"$679,423","7,956","7,892","7,860",$85.40,$86.09,$86.44,"$563,452","6,282","5,972","5,961",$89.69,$94.35,$94.52,$100.86,5.03%,7.98%
J2820,"Injection, sargramostim (gm-csf), 50 mcg",Leukine,Sargramostim,"$11,944,510","425,068","41,454","3,386",$28.10,$288.14,"$3,527.62","$9,221,014","298,876","28,958","2,443",$30.85,$318.43,"$3,774.46","$7,902,539","250,667","24,932","1,972",$31.53,$316.96,"$4,007.37","$5,364,260","155,814","15,490","1,248",$34.43,$346.30,"$4,298.29","$4,626,431","126,555","13,116",948,$36.56,$352.73,"$4,880.20",$37.44,6.19%,6.80%
J2850,"Injection, secretin, synthetic, human, 1 microgram",Chirhostim,Secretin Acetate (Human),"$191,487","7,055",566,539,$27.14,$338.32,$355.26,"$188,574","6,216",393,375,$30.34,$479.83,$502.86,"$397,626","11,673",702,641,$34.06,$566.42,$620.32,"$450,985","13,242",772,728,$34.06,$584.18,$619.48,"$318,050","9,325",537,519,$34.11,$592.27,$612.81,$34.78,0.15%,5.88%
J2916,"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg",Ferrlecit*,Sodium Ferric Gluconat/Sucrose*,"$2,473,297","1,577,666","96,302","15,856",$1.57,$25.68,$155.98,"$1,067,949","423,237","42,916","6,378",$2.52,$24.88,$167.44,"$834,472","322,129","32,871","5,084",$2.59,$25.39,$164.14,"$682,543","285,347","29,285","4,512",$2.39,$23.31,$151.27,"$592,708","267,531","27,856","4,143",$2.22,$21.28,$143.06,$2.26,-7.38%,9.03%
J2920,"Injection, methylprednisolone sodium succinate, up to 40 mg",MethylprednIsolone Sodium Succ (J2920)*,MethylprednIsolone Sod Succ*,"$250,653","142,118","88,493","46,804",$1.76,$2.83,$5.36,"$238,635","131,554","87,968","46,017",$1.81,$2.71,$5.19,"$299,326","133,450","88,298","45,950",$2.24,$3.39,$6.51,"$465,606","147,866","92,080","45,881",$3.15,$5.06,$10.15,"$612,335","150,293","94,000","46,669",$4.07,$6.51,$13.12,$4.19,29.39%,23.28%
J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",MethylprednIsolone Sodium Succ (J2930)*,MethylprednIsolone Sod Succ*,"$858,109","329,386","202,919","118,094",$2.61,$4.23,$7.27,"$858,782","323,447","205,235","119,413",$2.66,$4.18,$7.19,"$1,137,105","347,651","225,895","134,511",$3.27,$5.03,$8.45,"$1,665,733","369,782","241,291","139,456",$4.50,$6.90,$11.94,"$2,126,602","376,729","255,315","148,117",$5.64,$8.33,$14.36,$5.80,25.31%,21.33%
J2997,"Injection, alteplase recombinant, 1 mg",Activase*,Alteplase*,"$30,907,811","589,981","80,684","53,828",$52.39,$383.07,$574.20,"$38,112,504","628,927","85,393","56,387",$60.60,$446.32,$675.91,"$49,746,409","717,913","82,213","54,001",$69.29,$605.09,$921.21,"$59,241,165","791,110","85,086","56,058",$74.88,$696.25,"$1,056.78","$64,900,597","813,288","84,077","55,463",$79.80,$771.92,"$1,170.16",$82.51,6.57%,11.09%
J3010,"Injection, fentanyl citrate, 0.1 mg",Fentanyl Citrate,Fentanyl Citrate/PF,"$529,335","898,005","140,277","73,810",$0.59,$3.77,$7.17,"$285,643","500,056","141,384","73,996",$0.57,$2.02,$3.86,"$219,759","411,277","138,968","73,667",$0.53,$1.58,$2.98,"$245,601","490,616","139,653","75,339",$0.50,$1.76,$3.26,"$235,609","498,285","137,615","78,108",$0.47,$1.71,$3.02,$0.48,-5.54%,-5.36%
J3060,"Injection, taliglucerace alfa, 10 units",Elelyso,Taliglucerase Alfa, , , , , , , ,"$1,604,535","52,949",104,22,$30.30,"$15,428.22","$72,933.39","$3,277,006","93,922",195,17,$34.89,"$16,805.16","$192,765.08","$4,173,214","107,445",249,54,$38.84,"$16,759.90","$77,281.74","$5,678,621","144,136",262,39,$39.40,"$21,674.13","$145,605.67",$40.39,1.43%,9.14%
J3070,"Injection, pentazocine, 30 mg",Talwin,Pentazocine Lactate,"$6,466",396,385,251,$16.35,$16.80,$25.76,"$8,811",160,121,86,$55.07,$72.82,$102.45,"$132,257","1,174",109,82,$112.66,"$1,213.37","$1,612.89","$24,896",234,98,54,$106.39,$254.04,$461.04,"$23,682",245,127,66,$96.66,$186.47,$358.81,$105.70,-9.15%,55.93%
J3095,"Injection, telavancin, 10 mg",Vibativ,Telavancin HCL,"$58,746","22,301",126,18,$2.63,$466.24,"$3,263.67","$347,521","83,909",700,171,$4.14,$496.46,"$2,032.29","$926,669","200,775","1,393",240,$4.62,$665.23,"$3,861.12","$3,232,955","643,786","5,477",574,$5.02,$590.28,"$5,632.33","$1,901,762","380,647","2,708",371,$5.00,$702.28,"$5,126.04",$5.08,-0.51%,17.35%
J3101,"Injection, tenecteplase, 1 mg",Tnkase,Tenecteplase,"$5,915,620","80,663","1,805","1,792",$73.34,"$3,277.35","$3,301.13","$5,763,697","72,746","1,710","1,685",$79.23,"$3,370.58","$3,420.59","$6,368,357","72,967","1,658","1,611",$87.28,"$3,840.99","$3,953.05","$6,664,323","69,259","1,612","1,569",$96.22,"$4,134.20","$4,247.50","$6,991,280","67,190","1,529","1,508",$104.05,"$4,572.45","$4,636.13",$106.65,8.14%,9.14%
J3105,"Injection, terbutaline sulfate, up to 1 mg",Terbutaline Sulfate,Terbutaline Sulfate,"$1,082",435,418,274,$2.49,$2.59,$3.95,"$1,093",411,385,241,$2.66,$2.84,$4.54,"$1,309",379,355,211,$3.45,$3.69,$6.21,"$1,036",488,447,269,$2.12,$2.32,$3.85,"$1,298",402,374,218,$3.23,$3.47,$5.96,$3.27,52.17%,6.71%
J3121,"Injection, testosterone enanthate, 1 mg",Testosterone Enanthate,Testosterone Enanthate, , , , , , , , , , , , , , ,"$109,577","2,356,186","16,807","2,740",$0.05,$6.52,$39.99,"$100,203","2,363,914","15,019","2,206",$0.04,$6.67,$45.42,"$75,107","1,946,843","11,898","1,768",$0.04,$6.31,$42.48,$0.04,-8.99%,-8.92%
J3230,"Injection, chlorpromazine hcl, up to 50 mg",Chlorpromazine HCL,Chlorpromazine HCL,"$6,433",400,353,176,$16.08,$18.22,$36.55,"$5,707",294,267,141,$19.41,$21.37,$40.47,"$4,035",192,181,119,$21.02,$22.29,$33.91,"$3,203",149,145,86,$21.50,$22.09,$37.24,"$4,300",181,172,104,$23.76,$25.00,$41.35,$26.79,10.53%,10.25%
J3240,"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",Thyrogen,Thyrotropin Alfa,"$11,282,305","10,655","8,449","5,354","$1,058.87","$1,335.34","$2,107.27","$13,642,580","10,730","8,457","5,314","$1,271.44","$1,613.17","$2,567.29","$14,306,250","10,377","8,112","5,086","$1,378.65","$1,763.59","$2,812.87","$14,325,095","9,935","7,867","4,872","$1,441.88","$1,820.91","$2,940.29","$14,484,300","9,630","7,615","4,636","$1,504.11","$1,902.07","$3,124.31","$1,571.42",4.32%,9.17%
J3243,"Injection, tigecycline, 1 mg",Tigecycline*,Tigecycline*,"$1,993,020","1,192,885","7,023","2,495",$1.67,$283.78,$798.81,"$1,339,000","731,558","3,773","1,457",$1.83,$354.89,$919.01,"$1,618,912","755,208","4,044","1,203",$2.14,$400.32,"$1,345.73","$1,134,496","445,186","2,400",604,$2.55,$472.71,"$1,878.30","$1,320,870","429,536","2,225",499,$3.08,$593.65,"$2,647.03",$3.16,20.67%,16.48%
J3250,"Injection, trimethobenzamide hcl, up to 200 mg",Tigan,Trimethobenzamide HCL,"$67,887","7,053","6,733","4,765",$9.63,$10.08,$14.25,"$69,713","5,651","5,375","3,905",$12.34,$12.97,$17.85,"$88,393","5,118","4,669","3,189",$17.27,$18.93,$27.72,"$128,120","6,024","5,344","2,591",$21.27,$23.97,$49.45,"$119,418","4,806","4,266","2,131",$24.85,$27.99,$56.04,$28.45,16.82%,26.76%
J3260,"Injection, tobramycin sulfate, up to 80 mg",Tobramycin Sulfate,Tobramycin Sulfate,"$69,925","23,120","11,886","6,037",$3.02,$5.88,$11.58,"$58,778","22,486","12,858","6,459",$2.61,$4.57,$9.10,"$62,874","24,782","13,328","6,289",$2.54,$4.72,$10.00,"$45,748","20,246","10,920","5,181",$2.26,$4.19,$8.83,"$43,954","17,834","8,578","4,660",$2.46,$5.12,$9.43,$2.36,9.07%,-4.99%
J3262,"Injection, tocilizumab, 1 mg",Actemra,Tocilizumab,"$120,525,413","33,307,019","61,087","9,146",$3.62,"$1,973.01","$13,177.94","$141,671,505","39,039,500","71,087","9,931",$3.63,"$1,992.93","$14,265.58","$157,257,463","41,876,903","75,878","10,234",$3.76,"$2,072.50","$15,366.18","$183,863,125","46,171,401","83,079","11,158",$3.98,"$2,213.11","$16,478.14","$211,708,975","50,167,455","90,725","12,179",$4.22,"$2,333.52","$17,383.12",$4.30,5.97%,3.92%
J3285,"Injection, treprostinil, 1 mg",Remodulin,Treprostinil Sodium,"$159,431,079","2,611,567","9,548","1,146",$61.05,"$16,697.85","$139,119.62","$167,574,102","2,758,081","10,462","1,234",$60.76,"$16,017.41","$135,797.49","$174,306,642","2,871,482","10,557","1,209",$60.70,"$16,511.00","$144,174.23","$175,461,592","2,887,703","10,683","1,209",$60.76,"$16,424.37","$145,129.52","$174,848,456","2,900,612","10,417","1,195",$60.28,"$16,784.91","$146,316.70",$61.24,-0.79%,-0.32%
J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",Triesence,Triamcinolone Acetonide/PF,"$6,888,110","2,029,123","53,051","32,004",$3.39,$129.84,$215.23,"$7,808,090","2,288,477","67,238","40,445",$3.41,$116.13,$193.05,"$6,978,740","1,997,224","61,380","36,776",$3.49,$113.70,$189.76,"$6,663,572","1,885,818","56,766","33,865",$3.53,$117.39,$196.77,"$8,903,322","2,462,048","57,290","32,634",$3.62,$155.41,$272.82,$3.81,2.34%,1.59%
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",Kenalog*,Triamcinolone Acetonide*,"$19,266,372","11,041,001","2,606,999","1,611,778",$1.74,$7.39,$11.95,"$19,558,417","11,171,000","2,641,803","1,642,717",$1.75,$7.40,$11.91,"$20,865,066","11,932,473","2,784,332","1,726,827",$1.75,$7.49,$12.08,"$22,507,507","12,835,478","2,952,177","1,822,605",$1.75,$7.62,$12.35,"$24,092,743","13,387,333","3,036,476","1,876,332",$1.80,$7.93,$12.84,$1.83,2.63%,0.77%
J3315,"Injection, triptorelin pamoate, 3.75 mg",Trelstar,Triptorelin Pamoate,"$17,571,612","96,456","28,300","13,091",$182.17,$620.91,"$1,342.27","$18,266,602","102,349","28,957","13,550",$178.47,$630.82,"$1,348.09","$12,619,497","73,471","20,647","9,959",$171.76,$611.20,"$1,267.14","$17,974,640","57,166","16,403","7,644",$314.43,"$1,095.81","$2,351.47","$22,999,720","66,796","20,186","8,748",$344.33,"$1,139.39","$2,629.14",$359.57,9.51%,17.25%
J3357,"Ustekinumab, for subcutaneous injection, 1 mg",Stelara,Ustekinumab,"$15,280,891","116,296","2,068",735,$131.40,"$7,389.21","$20,790.33","$21,309,186","142,999","2,453",904,$149.02,"$8,686.99","$23,572.11","$31,321,560","197,699","3,448","1,217",$158.43,"$9,083.98","$25,736.70","$46,057,201","288,954","4,944","1,739",$159.39,"$9,315.78","$26,484.88","$92,959,948","563,130","8,494","3,109",$165.08,"$10,944.19","$29,900.27",$179.47,3.57%,5.87%
J3360,"Injection, diazepam, up to 5 mg",Diazepam,Diazepam,"$50,348","16,478","11,374","6,410",$3.06,$4.43,$7.85,"$55,022","13,717","9,903","5,575",$4.01,$5.56,$9.87,"$58,532","12,059","8,137","4,980",$4.85,$7.19,$11.75,"$65,932","9,836","6,725","4,170",$6.70,$9.80,$15.81,"$71,439","8,385","6,016","3,398",$8.52,$11.87,$21.02,$9.47,27.11%,29.22%
J3370,"Injection, vancomycin hcl, 500 mg",Vancomycin*,Vancomycin HCL In 5 % Dextrose*,"$836,600","428,014","97,742","22,736",$1.95,$8.56,$36.80,"$722,672","350,628","81,695","19,064",$2.06,$8.85,$37.91,"$1,010,042","348,645","76,226","17,279",$2.90,$13.25,$58.45,"$950,166","299,797","70,149","14,714",$3.17,$13.54,$64.58,"$704,592","249,537","56,157","12,354",$2.82,$12.55,$57.03,$2.72,-10.91%,9.63%
J3380,"Injection, vedolizumab, 1 mg",Entyvio,Vedolizumab, , , , , , , , , , , , , , , , , , , , , ,"$117,594,439","6,990,830","23,324","4,913",$16.82,"$5,041.78","$23,935.36","$182,585,694","10,281,022","34,179","6,759",$17.76,"$5,342.04","$27,013.71",$18.09,5.58%,5.58%
J3385,"Injection, velaglucerase alfa, 100 units",Vpriv,Velaglucerase Alfa,"$29,056,591","84,454","1,863",106,$344.05,"$15,596.67","$274,118.78","$29,743,471","85,491","1,851",110,$347.91,"$16,068.87","$270,395.19","$26,912,505","78,887","1,688",101,$341.15,"$15,943.43","$266,460.44","$24,449,480","73,210","1,627",92,$333.96,"$15,027.34","$265,755.22","$24,856,390","73,862","1,646",93,$336.52,"$15,101.09","$267,273.01",$342.55,0.77%,-0.55%
J3396,"Injection, verteporfin, 0.1 mg",Visudyne,Verteporfin,"$7,230,926","707,660","4,789","4,060",$10.22,"$1,509.90","$1,781.02","$6,420,431","605,265","4,126","3,455",$10.61,"$1,556.09","$1,858.30","$5,351,867","501,308","3,431","2,906",$10.68,"$1,559.86","$1,841.66","$5,047,468","469,966","3,202","2,702",$10.74,"$1,576.35","$1,868.05","$4,996,389","473,055","3,234","2,758",$10.56,"$1,544.96","$1,811.60",$10.75,-1.66%,0.83%
J3410,"Injection, hydroxyzine hcl, up to 25 mg",Hydroxyzine HCL,Hydroxyzine HCL,"$22,184","25,694","17,660","9,251",$0.86,$1.26,$2.40,"$2,882","7,834","5,699","3,120",$0.37,$0.51,$0.92,"$5,461","4,923","3,734","2,088",$1.11,$1.46,$2.62,"$11,653","5,550","4,158","2,205",$2.10,$2.80,$5.28,"$21,188","6,259","4,012","1,944",$3.39,$5.28,$10.90,$3.72,61.24%,40.72%
J3411,"Injection, thiamine hcl, 100 mg",Thiamine HCL,Thiamine HCL,"$83,535","24,109","22,897","4,906",$3.46,$3.65,$17.03,"$91,748","27,084","25,627","5,254",$3.39,$3.58,$17.46,"$89,087","26,812","22,467","4,838",$3.32,$3.97,$18.41,"$85,610","26,810","20,028","4,254",$3.19,$4.27,$20.12,"$80,155","26,446","16,986","3,410",$3.03,$4.72,$23.51,$3.09,-5.08%,-3.29%
J3415,"Injection, pyridoxine hcl, 100 mg",Pyridoxine HCL,Pyridoxine HCL (Vitamin B6),"$153,298","22,151","21,138","3,544",$6.92,$7.25,$43.26,"$179,064","24,173","22,741","4,049",$7.41,$7.87,$44.22,"$214,731","30,390","22,664","4,235",$7.07,$9.47,$50.70,"$296,431","32,263","24,053","4,090",$9.19,$12.32,$72.48,"$351,625","33,990","23,279","3,821",$10.34,$15.10,$92.02,$10.93,12.59%,10.57%
J3420,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),"$3,042,946","2,620,439","2,604,023","636,971",$1.16,$1.17,$4.78,"$4,818,554","2,332,312","2,320,352","582,668",$2.07,$2.08,$8.27,"$6,919,520","2,405,778","2,360,971","573,785",$2.88,$2.93,$12.06,"$9,094,370","2,454,793","2,441,874","585,494",$3.70,$3.72,$15.53,"$6,832,302","2,401,947","2,394,186","572,592",$2.84,$2.85,$11.93,$2.96,-23.22%,25.10%
J3430,"Injection, phytonadione (vitamin k), per 1 mg",Vitamin K1,Phytonadione (Vit K1),"$27,397","24,911","5,046","3,880",$1.10,$5.43,$7.06,"$23,133","22,072","4,283","3,221",$1.05,$5.40,$7.18,"$54,039","18,951","3,663","2,704",$2.85,$14.75,$19.98,"$57,138","18,812","3,043","2,109",$3.04,$18.78,$27.09,"$50,880","14,164","2,606","1,720",$3.59,$19.52,$29.58,$3.82,18.27%,34.43%
J3465,"Injection, voriconazole, 10 mg",Vfend IV*,Voriconazole*,"$142,984","30,451",486,206,$4.70,$294.21,$694.10,"$88,943","22,783",430,211,$3.90,$206.84,$421.53,"$84,941","22,396",459,186,$3.79,$185.06,$456.67,"$101,892","24,659",392,204,$4.13,$259.93,$499.47,"$65,821","21,002",352,142,$3.13,$186.99,$463.53,$3.30,-24.15%,-9.61%
J3471,"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)",Vitrase,"Hyaluronidase,ovine","$48,113","173,999",473,321,$0.28,$101.72,$149.89,"$216,267","245,584",320,183,$0.88,$675.83,"$1,181.78","$74,910","139,646",363,236,$0.54,$206.36,$317.42,"$27,042","80,912",337,220,$0.33,$80.24,$122.92,"$19,141","52,608",220,162,$0.36,$87.00,$118.15,$0.37,8.86%,7.10%
J3473,"Injection, hyaluronidase, recombinant, 1 usp unit",Hylenex,"Hyaluronidase, Human Recomb.","$8,332","26,737",284,235,$0.31,$29.34,$35.45,"$5,103","16,153",186,154,$0.32,$27.44,$33.14,"$9,313","27,710",224,169,$0.34,$41.58,$55.11,"$12,966","36,883",278,212,$0.35,$46.64,$61.16,"$30,820","87,673",614,457,$0.35,$50.20,$67.44,$0.36,0.00%,3.06%
J3475,"Injection, magnesium sulfate, per 500 mg",Magnesium Sulfate*,Magnesium Sulfate*,"$107,676","562,738","135,107","26,142",$0.19,$0.80,$4.12,"$125,441","618,572","126,883","23,798",$0.20,$0.99,$5.27,"$128,504","641,744","127,996","24,273",$0.20,$1.00,$5.29,"$130,993","551,368","129,331","24,268",$0.24,$1.01,$5.40,"$264,728","537,721","122,648","23,224",$0.49,$2.16,$11.40,$0.50,107.22%,26.65%
J3480,"Injection, potassium chloride, per 2 meq",Dextrose 5%-Potassium Chloride*,Potassium Chloride In D5W*,"$18,334","697,597","65,496","19,545",$0.03,$0.28,$0.94,"$44,150","643,887","59,394","17,950",$0.07,$0.74,$2.46,"$87,445","624,248","57,302","17,053",$0.14,$1.53,$5.13,"$96,538","628,406","58,237","16,241",$0.15,$1.66,$5.94,"$86,309","618,628","57,523","15,723",$0.14,$1.50,$5.49,$0.13,-9.18%,51.79%
J3489,"Injection, zoledronic acid, 1 mg",Reclast*,Zoledronic Acid/Mannitol-Water*,"$210,161,040","951,240","218,867","128,002",$220.93,$960.22,"$1,641.86","$124,876,555","1,717,500","396,992","192,286",$72.71,$314.56,$649.43,"$56,614,693","1,568,969","364,602","176,814",$36.08,$155.28,$320.19,"$29,517,927","1,481,675","337,219","166,109",$19.92,$87.53,$177.70,"$8,931,105","688,441","161,200","76,527",$12.97,$55.40,$116.71,$13.22,-34.88%,-50.77%
J7030,"Infusion, normal saline solution , 1000 cc",Sodium Chloride (J7030),0.9 % Sodium Chloride,"$379,934","324,103","277,086","92,313",$1.17,$1.37,$4.12,"$375,256","285,747","253,925","86,734",$1.31,$1.48,$4.33,"$448,518","285,399","256,890","86,379",$1.57,$1.75,$5.19,"$559,623","292,831","265,339","89,653",$1.91,$2.11,$6.24,"$574,661","285,356","258,465","87,102",$2.01,$2.22,$6.60,$2.03,5.38%,14.49%
J7040,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",Sodium Chloride (J7040),0.9 % Sodium Chloride,"$231,450","416,138","334,391","94,739",$0.56,$0.69,$2.44,"$244,162","367,178","297,878","86,764",$0.66,$0.82,$2.81,"$266,070","338,237","277,203","81,977",$0.79,$0.96,$3.25,"$297,441","311,900","257,635","76,828",$0.95,$1.15,$3.87,"$293,165","291,915","241,754","77,868",$1.00,$1.21,$3.76,$1.02,5.31%,15.92%
J7042,5% dextrose/normal saline (500 ml = 1 unit),Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,"$33,659","57,092","38,045","14,919",$0.59,$0.88,$2.26,"$29,443","51,685","34,316","14,221",$0.57,$0.86,$2.07,"$25,515","41,695","29,028","11,695",$0.61,$0.88,$2.18,"$23,310","34,317","23,952","9,334",$0.68,$0.97,$2.50,"$25,622","28,940","19,225","8,210",$0.89,$1.33,$3.12,$0.87,30.34%,10.70%
J7050,"Infusion, normal saline solution, 250 cc",Sodium Chloride (J7050),0.9 % Sodium Chloride,"$436,377","1,449,046","918,690","219,095",$0.30,$0.47,$1.99,"$420,479","1,249,460","818,235","195,437",$0.34,$0.51,$2.15,"$417,206","1,054,044","693,189","166,635",$0.40,$0.60,$2.50,"$468,036","964,456","629,100","150,794",$0.49,$0.74,$3.10,"$431,923","848,935","569,933","143,232",$0.51,$0.76,$3.02,$0.50,4.84%,14.01%
J7060,5% dextrose/water (500 ml = 1 unit),Dextrose In Water (J7060),Dextrose 5 % In Water,"$99,868","92,802","66,311","12,922",$1.08,$1.51,$7.73,"$96,832","75,877","55,227","11,756",$1.28,$1.75,$8.24,"$115,614","69,048","49,814","9,559",$1.67,$2.32,$12.09,"$113,879","63,994","46,018","8,611",$1.78,$2.47,$13.22,"$109,748","53,822","39,028","7,735",$2.04,$2.81,$14.19,$2.00,14.59%,17.33%
J7070,"Infusion, d5w, 1000 cc",Dextrose In Water (J7070),Dextrose 5 % In Water,"$30,179","11,176","9,270","2,841",$2.70,$3.26,$10.62,"$22,565","9,870","8,560","2,801",$2.29,$2.64,$8.06,"$19,501","7,361","6,641","2,204",$2.65,$2.94,$8.85,"$17,571","5,032","4,612","1,599",$3.49,$3.81,$10.99,"$15,840","4,155","3,656","1,198",$3.81,$4.33,$13.22,$3.84,9.18%,9.01%
J7120,"Ringers lactate infusion, up to 1000 cc",Lactated Ringers,"Ringer's Solution,lactated","$34,946","35,816","33,988","14,169",$0.98,$1.03,$2.47,"$31,020","28,268","26,002","11,982",$1.10,$1.19,$2.59,"$33,300","23,458","21,658","10,452",$1.42,$1.54,$3.19,"$37,878","20,139","18,360","9,426",$1.88,$2.06,$4.02,"$49,818","21,666","19,509","9,267",$2.30,$2.55,$5.38,$2.34,22.26%,23.90%
J7180,"Injection, factor xiii (antihemophilic factor, human), 1 i.u.",Corifact,Factor XIII,"$1,344,843","24,000",53, ,$56.04,"$25,374.39", ,"$1,167,922","4,755",46, ,$245.62,"$25,389.61", ,"$2,023,091","36,442",77, ,$55.52,"$26,273.91", ,"$2,927,235","78,383",92, ,$37.35,"$31,817.78", ,"$2,997,439","127,975",100,18,$23.42,"$29,974.39","$166,524.40",$8.20,-37.28%,-19.59%
J7182,"Injection, factor viii, (antihemophilic factor, recombinant), (novoeight), per iu",Novoeight,"Antihemoph.FVIII,b-Dom Truncat", , , , , , , , , , , , , , ,"$2,171,048","156,684",49, ,$13.86,"$44,307.09", ,"$9,764,211","18,397",313,24,$530.75,"$31,195.56","$406,842.12","$8,425,319","447,394",283,22,$18.83,"$29,771.44","$382,969.04",$1.30,-96.45%,16.58%
J7183,"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco",Wilate,Antihemophilic Factor/VWF,"$1,729,025","432,339",83,21,$4.00,"$20,831.62","$82,334.50","$1,227,913","385,296",80,31,$3.19,"$15,348.91","$39,610.09","$3,210,045","1,040,925",214,30,$3.08,"$15,000.21","$107,001.49","$5,901,359","198,668",326,31,$29.70,"$18,102.33","$190,366.41","$4,531,422","493,520",250,33,$9.18,"$18,125.69","$137,315.83",$1.01,-69.09%,23.09%
J7185,"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u.",Xyntha*,"Antihemoph.FVIII,b-Domain Del*","$13,253,491","288,132",505,70,$46.00,"$26,244.54","$189,335.59","$15,038,064","406,481",650,76,$37.00,"$23,135.48","$197,869.26","$15,668,206","442,827",695,80,$35.38,"$22,544.18","$195,852.58","$15,381,213","697,506",755,72,$22.05,"$20,372.47","$213,627.96","$11,466,546","1,749,320",651,62,$6.55,"$17,613.74","$184,944.28",$1.24,-70.28%,-38.56%
J7186,"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u.",Alphanate (J7186),Antihemophilic Factor/VWF,"$6,747,606","276,136",325,56,$24.44,"$20,761.86","$120,492.96","$10,752,178","923,371",591,55,$11.64,"$18,193.20","$195,494.15","$11,363,125","1,188,187",492,60,$9.56,"$23,095.78","$189,385.42","$11,562,025","986,253",567,70,$11.72,"$20,391.58","$165,171.78","$7,052,346","1,410,931",430,51,$5.00,"$16,400.80","$138,281.29",$0.97,-57.36%,-32.75%
J7187,"Injection, von willebrand factor complex (humate-p), per iu vwf:rco",Humate-P,Antihemophilic Factor/VWF,"$23,258,422","4,523,116","1,297",335,$5.14,"$17,932.48","$69,428.12","$21,691,175","4,247,274","1,477",363,$5.11,"$14,685.97","$59,755.30","$23,325,946","4,661,792","1,392",342,$5.00,"$16,757.15","$68,204.52","$32,779,982","4,966,418","1,787",363,$6.60,"$18,343.58","$90,302.98","$30,776,406","7,897,531","1,862",369,$3.90,"$16,528.68","$83,404.90",$1.08,-40.96%,-6.70%
J7189,"Factor viia (antihemophilic factor, recombinant), per 1 microgram",Novoseven RT,"Coagulation Factor VIIA,recomb","$116,100,933","2,933,719","2,223",220,$39.57,"$52,227.14","$527,731.52","$106,222,358","1,794,787","1,971",172,$59.18,"$53,892.62","$617,571.85","$98,366,886","6,104,878","1,678",187,$16.11,"$58,621.51","$526,026.13","$77,822,816","2,445,617","1,662",148,$31.82,"$46,824.80","$525,829.84","$93,482,405","12,440,323","1,910",118,$7.51,"$48,943.67","$792,223.77",$1.96,-76.39%,-33.99%
J7190,"Factor viii (antihemophilic factor, human) per i.u.",Alphanate (J7190)*,Antihemophilic Factor/VWF*,"$33,686,339","4,856,709","1,292",232,$6.94,"$26,073.02","$145,199.74","$29,302,369","4,441,626","1,155",200,$6.60,"$25,370.02","$146,511.85","$25,703,868","4,273,993",954,162,$6.01,"$26,943.26","$158,665.85","$20,643,555","2,836,340",755,125,$7.28,"$27,342.46","$165,148.44","$23,100,469","4,936,798",836,123,$4.68,"$27,632.14","$187,808.69",$1.01,-35.71%,-9.37%
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Advate*,"Antihemophil.FVIII,full Length*","$200,755,283","15,258,319","7,145",906,$13.16,"$28,097.31","$221,584.20","$224,276,578","16,440,533","7,861",950,$13.64,"$28,530.29","$236,080.61","$229,837,519","17,070,230","7,854",957,$13.46,"$29,263.75","$240,164.60","$210,784,454","15,585,832","7,231",929,$13.52,"$29,150.11","$226,893.92","$192,983,189","44,853,726","6,489",839,$4.30,"$29,740.05","$230,015.72",$1.22,-68.19%,-24.38%
