State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Medfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Medfield,Opioids,0.194,0.206,0.28,0.189,0.139,0.204,0.186,not available,0.255,0.13
Medfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Medford,Alcohol,0.185,0.194,0.235,0.196,0.188,0.197,0.243,0.211,0.27,0.27
Medford,Marijuana,0.026,0.032,0.036,0.04,0.027,0.028,0.023,0.031,0.015,0.022
Medford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Medford,Opioids,0.735,0.693,0.668,0.689,0.709,0.716,0.662,0.696,0.668,0.664
Medford,Other,0.047,0.079,0.06,0.069,0.071,0.059,0.073,0.059,0.043,0.034
Medway,Alcohol,0.597,0.482,0.463,0.493,0.53,0.574,0.468,0.539,0.468,0.463
Medway,Marijuana,not available,0.108,0.098,0.247,0.106,not available,not available,0.088,not available,not available
Medway,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Medway,Opioids,0.208,0.253,0.28,0.151,0.303,0.294,0.443,0.294,0.39,0.402
Medway,Other,0.091,not available,0.11,not available,not available,not available,not available,0.059,not available,not available
Melrose,Alcohol,0.224,0.231,0.202,0.245,0.292,0.228,0.224,0.236,0.349,0.33
Melrose,Marijuana,0.031,0.039,0.05,0.033,0.051,0.026,0.024,0.04,0.06,0.036
Melrose,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Melrose,Opioids,0.695,0.679,0.667,0.674,0.57,0.69,0.68,0.692,0.524,0.598
Melrose,Other,0.036,0.046,0.064,0.042,0.074,0.034,0.068,0.024,0.048,0.027
Mendon,Alcohol,0.576,0.72,0.567,0.552,0.474,0.725,0.5,0.302,0.556,0.341
Mendon,Marijuana,not available,not available,not available,not available,not available,not available,not available,0.14,not available,not available
Mendon,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mendon,Opioids,0.242,not available,not available,not available,0.368,0.175,0.406,0.488,0.333,0.463
Mendon,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Merrimac,Alcohol,0.522,0.511,0.538,0.543,0.444,0.477,0.625,0.473,0.39,0.426
Merrimac,Marijuana,not available,0.213,0.154,not available,0.111,not available,not available,not available,0.119,not available
Merrimac,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Merrimac,Opioids,0.261,0.17,0.205,0.261,0.407,0.409,0.146,0.436,0.441,0.447
Merrimac,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Methuen,Alcohol,0.403,0.444,0.461,0.435,0.485,0.454,0.467,0.352,0.368,0.232
Methuen,Marijuana,0.094,0.097,0.075,0.079,0.07,0.068,0.068,0.065,0.038,0.042
Methuen,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Methuen,Opioids,0.455,0.381,0.375,0.403,0.382,0.41,0.397,0.534,0.543,0.688
Methuen,Other,0.04,0.076,0.087,0.082,0.064,0.056,0.068,0.047,0.044,0.038
Middleborough,Alcohol,0.515,0.512,0.489,0.428,0.393,0.426,0.381,0.32,0.318,0.322
Middleborough,Marijuana,not available,0.029,0.036,0.041,0.043,0.026,0.066,0.05,0.025,0.039
Middleborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Middleborough,Opioids,0.294,0.358,0.404,0.445,0.481,0.508,0.515,0.575,0.608,0.598
Middleborough,Other,0.17,0.1,0.062,0.086,0.063,0.04,0.033,0.054,0.044,0.039
Middlefield,Alcohol,0.667,0.538,not available,not available,not available,not available,not available,not available,not available,1
Middlefield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Middlefield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Middlefield,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Middlefield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Middleton,Alcohol,0.536,0.299,0.417,0.459,0.507,0.33,0.652,0.596,0.593,0.381
Middleton,Marijuana,not available,not available,not available,not available,0.082,not available,not available,0.112,not available,not available
Middleton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Middleton,Opioids,0.275,0.493,0.35,0.377,0.329,0.564,0.283,0.236,0.371,0.571
Middleton,Other,not available,not available,0.1,not available,not available,not available,not available,not available,not available,not available
Milford,Alcohol,0.457,0.477,0.429,0.44,0.443,0.414,0.368,0.333,0.482,0.383
Milford,Marijuana,0.099,0.093,0.095,0.091,0.059,0.114,0.09,0.049,0.043,0.043
Milford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Milford,Opioids,0.376,0.38,0.419,0.387,0.451,0.41,0.487,0.559,0.439,0.554
Milford,Other,0.056,0.035,0.048,0.078,0.04,0.043,0.054,0.045,not available,not available
Millbury,Alcohol,0.462,0.457,0.456,0.438,0.462,0.46,0.295,0.268,0.227,0.278
Millbury,Marijuana,not available,not available,0.064,0.068,0.032,0.042,0.053,not available,not available,not available
Millbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Millbury,Opioids,0.462,0.449,0.41,0.357,0.362,0.46,0.6,0.637,0.655,0.673
Millbury,Other,not available,0.047,0.047,0.123,0.145,0.033,0.032,0.056,0.074,0.031
Millis,Alcohol,0.648,0.489,0.532,0.558,0.537,0.696,0.717,0.571,0.647,0.333
Millis,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Millis,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Millis,Opioids,0.185,0.362,0.213,0.279,0.341,0.13,0.196,0.286,0.196,0.47
Millis,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Millville,Alcohol,0.889,0.773,not available,0.5,0.526,0.667,0.579,0.56,0.412,0.4
Millville,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Millville,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Millville,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,0.4
Millville,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Milton,Alcohol,0.583,0.466,0.361,0.5,0.286,0.363,0.42,0.404,0.392,0.346
Milton,Marijuana,0.063,not available,0.111,0.078,not available,0.048,not available,not available,0.052,0.05
Milton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Milton,Opioids,0.284,0.397,0.435,0.397,0.585,0.53,0.519,0.523,0.497,0.553
Milton,Other,0.047,0.061,0.074,not available,0.088,0.036,not available,not available,0.046,not available
Monroe,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monroe,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monroe,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monroe,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monroe,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monson,Alcohol,0.707,0.632,0.586,0.646,0.492,0.527,0.548,0.31,0.371,0.299
Monson,Marijuana,not available,not available,not available,not available,not available,not available,not available,0.069,0.09,not available
Monson,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monson,Opioids,not available,0.211,0.345,0.2,0.222,0.387,0.397,0.563,0.472,0.626
Monson,Other,not available,not available,not available,not available,0.111,not available,not available,not available,not available,not available
Montague,Alcohol,0.659,0.621,0.576,0.587,0.75,0.696,0.708,0.681,0.487,0.482
Montague,Marijuana,0.076,0.052,0.097,0.136,0.051,0.046,0.075,not available,not available,not available
Montague,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Montague,Opioids,0.129,0.207,0.206,0.196,0.128,0.18,0.198,0.17,0.434,0.47
Montague,Other,0.098,0.121,0.121,0.082,0.066,0.031,not available,0.106,0.071,not available
Monterey,Alcohol,not available,0.688,not available,0.556,0.562,0.667,not available,not available,not available,not available
Monterey,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monterey,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monterey,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Monterey,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Montgomery,Alcohol,0.857,not available,not available,not available,not available,0.667,not available,not available,not available,not available
Montgomery,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Montgomery,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Montgomery,Opioids,not available,not available,not available,not available,not available,not available,0.5,not available,not available,not available
Montgomery,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mount Washington,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mount Washington,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mount Washington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mount Washington,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Mount Washington,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Nahant,Alcohol,0.362,0.286,0.278,0.422,0.465,0.405,0.316,0.327,0.333,0.28
Nahant,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Nahant,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Nahant,Opioids,0.489,0.543,0.556,0.444,0.349,0.381,0.474,0.612,0.639,0.64
Nahant,Other,not available,not available,0.111,not available,not available,not available,not available,not available,not available,not available
Nantucket,Alcohol,0.795,0.606,0.621,0.782,0.699,0.627,0.613,0.425,0.327,0.583
Nantucket,Marijuana,not available,0.091,0.092,0.059,0.106,0.136,not available,not available,not available,not available
Nantucket,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Nantucket,Opioids,0.057,0.212,0.092,0.106,0.114,not available,0.226,0.35,0.582,0.267
Nantucket,Other,0.066,0.071,0.149,0.035,not available,not available,not available,not available,not available,not available
Natick,Alcohol,0.604,0.608,0.492,0.55,0.568,0.561,0.53,0.4,0.43,0.429
Natick,Marijuana,0.106,0.098,0.11,0.152,0.085,0.087,0.094,0.086,0.087,0.093
Natick,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Natick,Opioids,0.207,0.201,0.317,0.242,0.284,0.321,0.327,0.465,0.43,0.464
Natick,Other,0.062,0.078,0.055,not available,0.051,not available,0.04,0.048,0.05,not available
Needham,Alcohol,0.726,0.768,0.737,0.795,0.597,0.597,0.652,0.649,0.514,0.614
Needham,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Needham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Needham,Opioids,not available,not available,0.105,not available,0.195,0.209,0.337,0.286,0.4,0.253
Needham,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Ashford,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Ashford,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Ashford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Ashford,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Ashford,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Ashford,Alcohol,0.35,0.346,0.326,0.343,0.326,0.289,0.286,0.284,0.282,0.259
New Bedford,Marijuana,0.041,0.035,0.038,0.044,0.042,0.044,0.031,0.031,0.029,0.027
New Bedford,None,not available,not available,not available,0.003,not available,not available,not available,not available,0.002,not available
New Bedford,Opioids,0.479,0.499,0.507,0.511,0.553,0.583,0.595,0.596,0.599,0.645
New Bedford,Other,0.129,0.119,0.126,0.099,0.076,0.082,0.088,0.088,0.089,0.068
New Braintree,Alcohol,0.533,0.75,0.615,not available,0.375,0.5,0.889,0.778,0.438,0.6
New Braintree,Marijuana,not available,not available,not available,not available,not available,0.438,not available,not available,not available,not available
New Braintree,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Braintree,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,0.375,not available
New Braintree,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Newbury,Alcohol,0.425,0.698,0.412,0.547,0.541,0.315,0.621,0.61,0.674,0.442
Newbury,Marijuana,not available,not available,not available,not available,0.098,0.111,not available,not available,not available,not available
Newbury,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Newbury,Opioids,0.4,0.233,0.49,0.283,0.23,0.5,0.293,0.195,0.239,0.404
Newbury,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Newburyport,Alcohol,0.58,0.593,0.574,0.493,0.612,0.452,0.485,0.51,0.358,0.446
Newburyport,Marijuana,0.08,0.114,0.102,0.055,0.075,0.081,0.053,not available,0.041,0.062
Newburyport,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Newburyport,Opioids,0.245,0.244,0.21,0.322,0.231,0.427,0.446,0.442,0.555,0.431
Newburyport,Other,0.053,0.049,0.074,0.11,0.082,not available,not available,not available,not available,not available
New Marlborough,Alcohol,0.5,not available,not available,not available,not available,0.538,not available,not available,0.667,0.389
New Marlbrough,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Marlborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Marlborough,Opioids,0.321,not available,not available,not available,not available,not available,0.583,not available,not available,0.556
New Marlborough,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Salem,Alcohol,0.667,not available,0.818,not available,0.857,not available,not available,not available,not available,0.833
New Salem,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Salem,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Salem,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
New Salem,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Newton,Alcohol,0.534,0.555,0.498,0.482,0.458,0.482,0.493,0.422,0.367,0.394
Newton,Marijuana,0.068,0.073,0.061,0.077,0.085,0.052,0.031,0.038,not available,0.044
Newton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Newton,Opioids,0.327,0.261,0.322,0.292,0.385,0.408,0.393,0.489,0.566,0.517
Newton,Other,0.064,0.094,0.105,0.13,0.069,0.056,0.083,0.051,0.021,0.044
Norfolk,Alcohol,0.51,0.446,0.651,0.489,0.528,0.479,0.5,0.393,0.326,0.309
Norfolk,Marijuana,not available,not available,not available,not available,0.083,not available,not available,not available,not available,not available
Norfolk,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Norfolk,Opioids,0.346,0.339,0.222,0.318,0.278,0.451,0.38,0.512,0.512,0.632
Norfolk,Other,not available,not available,not available,0.114,0.097,not available,not available,not available,0.07,not available
North Adams,Alcohol,0.586,0.561,0.488,0.486,0.499,0.483,0.507,0.384,0.468,0.384
North Adams,Marijuana,0.135,0.129,0.173,0.129,0.111,0.129,0.082,0.072,0.032,0.042
North Adams,None,not available,0.022,0.028,0.046,not available,not available,not available,not available,not available,not available
North Adams,Opioids,0.172,0.191,0.234,0.258,0.329,0.339,0.363,0.506,0.47,0.551
North Adams,Other,0.099,0.079,0.078,0.08,0.061,0.05,0.031,0.025,0.019,not available
Northampton,Alcohol,0.485,0.519,0.556,0.556,0.58,0.586,0.492,0.512,0.403,0.382
Northampton,Marijuana,0.09,0.077,0.114,0.063,0.062,0.05,0.057,0.035,0.039,0.028
Nothhampton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Northampton,Opioids,0.294,0.284,0.203,0.259,0.259,0.26,0.378,0.369,0.502,0.533
Northampton,Other,0.131,0.119,0.124,0.117,0.099,0.101,0.06,0.085,0.039,0.041
North Andover,Alcohol,0.586,0.482,0.639,0.576,0.527,0.449,0.455,0.431,0.42,0.363
North Andover,Marijuana,0.09,0.092,0.094,0.081,0.066,0.051,0.035,0.074,0.078,not available
North Andover,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
North Andover,Opioids,0.255,0.355,0.233,0.273,0.365,0.46,0.475,0.461,0.487,0.589
North Andover,Other,not available,0.057,0.033,0.052,0.036,0.04,0.03,not available,not available,not available
North Attleborough,Alcohol,0.693,0.763,0.623,0.629,0.504,0.663,0.551,0.514,0.554,0.364
North Attleborough,Marijuana,0.105,not available,0.066,0.119,0.062,0.047,0.059,0.055,0.036,0.029
North Attleborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
North Attleborough,Opioids,0.14,0.105,0.245,0.166,0.38,0.254,0.34,0.372,0.346,0.562
North Attleborough,Other,not available,not available,0.046,not available,not available,not available,0.038,0.05,0.048,0.025
Northborough,Alcohol,0.709,0.671,0.667,0.548,0.615,0.678,0.645,0.542,0.615,0.521
Northborough,Marijuana,0.089,not available,0.111,0.143,not available,0.089,0.065,0.125,not available,0.085
Northborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Northborough,Opioids,0.089,0.114,0.153,0.25,0.2,0.189,0.269,0.333,0.297,0.34
Northborough,Other,0.089,not available,not available,not available,not available,not available,not available,not available,not available,not available
Northbridge,Alcohol,0.564,0.47,0.401,0.458,0.496,0.405,0.402,0.343,0.294,0.222
Northbridge,Marijuana,not available,0.07,0.088,0.061,0.083,0.046,0.069,not available,0.059,0.043
Northbridge,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Northbridge,Opioids,0.264,0.37,0.438,0.405,0.38,0.526,0.477,0.568,0.613,0.722
Northbridge,Other,0.082,0.08,0.066,0.069,not available,not available,not available,0.047,not available,not available
North Brookfield,Alcohol,0.562,0.49,0.442,0.558,0.419,0.567,0.511,0.581,0.611,0.581
North Brookfield,Marijuana,0.188,0.265,0.173,not available,0.163,0.133,0.156,not available,not available,not available
North Brookfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
North Brookfield,Opioids,0.125,0.184,0.231,0.279,0.349,0.2,0.156,0.349,0.241,0.209
North Brookfield,Other,0.125,not available,not available,not available,not available,not available,not available,not available,not available,not available
Northfield,Alcohol,0.636,0.833,0.6,0.743,0.667,0.556,0.667,0.619,0.529,0.5
Northfield,Marijuana,not available,not available,not available,0.171,not available,not available,not available,not available,not available,not available
Northfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Northfield,Opioids,0.273,not available,0.2,not available,0.2,not available,not available,not available,0.353,0.429
Northfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
North Reading,Alcohol,0.272,0.27,0.254,0.341,0.302,0.378,0.259,0.293,0.217,0.176
North Reading,Marijuana,0.07,not available,not available,not available,not available,0.063,0.054,0.051,0.057,not available
North Reading,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
North Reading,Opioids,0.631,0.643,0.615,0.613,0.659,0.459,0.634,0.63,0.662,0.773
North Reading,Other,not available,0.048,not available,not available,not available,not available,not available,not available,0.038,not available
Norton,Alcohol,0.509,0.422,0.473,0.492,0.488,0.461,0.432,0.432,0.39,0.371
Norton,Marijuana,not available,0.038,0.024,0.031,not available,0.033,0.029,0.046,0.041,0.053
Norton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Norton,Opioids,0.319,0.411,0.393,0.38,0.4,0.435,0.489,0.454,0.539,0.534
Norton,Other,0.143,0.111,0.103,0.077,0.062,0.052,0.043,0.067,not available,0.024
Norwell,Alcohol,0.549,0.377,0.513,0.368,0.543,0.585,0.462,0.392,0.48,0.471
Norwell,Marijuana,not available,not available,not available,0.088,not available,not available,not available,not available,not available,not available
Norwell,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Norwell,Opioids,0.373,0.459,0.381,0.324,0.37,0.366,0.462,0.473,0.38,0.441
Norwell,Other,not available,not available,not available,0.132,not available,not available,not available,not available,not available,not available
Norwood,Alcohol,0.521,0.516,0.494,0.426,0.39,0.414,0.323,0.328,0.337,0.313
Norwood,Marijuana,0.055,0.044,0.079,0.083,0.064,0.022,0.037,0.028,0.049,0.054
Norwood,None,not available,not available,not available,0.022,not available,not available,not available,not available,not available,not available
Norwood,Opioids,0.379,0.352,0.327,0.419,0.495,0.522,0.606,0.587,0.583,0.603
Norwood,Other,0.027,0.066,0.071,0.047,0.045,0.031,0.021,0.046,not available,0.019
Oak Bluffs,Alcohol,0.758,0.738,0.682,0.716,0.7,0.589,0.675,0.684,0.804,0.736
Oak Bluffs,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Oak Bluffs,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Oak Bluffs,Opioids,0.21,0.188,0.223,0.239,0.188,0.214,0.15,0.245,not available,0.206
Oak Bluffs,Other,not available,not available,0.082,not available,not available,not available,not available,not available,not available,not available
Oakham,Alcohol,0.423,0.32,0.645,0.579,0.605,0.767,0.409,0.4,0.545,0.45
Oakham,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Oakham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Oakham,Opioids,0.308,0.28,not available,not available,0.163,not available,0.318,not available,0.273,not available
Oakham,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Orange,Alcohol,0.561,0.598,0.512,0.534,0.496,0.551,0.481,0.464,0.535,0.336
Orange,Marijuana,0.122,0.085,0.128,0.186,0.147,0.101,0.047,not available,0.056,0.07
Orange,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Orange,Opioids,0.231,0.17,0.264,0.229,0.302,0.29,0.38,0.399,0.354,0.547
Orange,Other,not available,0.146,0.096,0.051,not available,0.043,0.078,0.087,0.056,not available
Orleans,Alcohol,0.576,0.739,0.63,0.549,0.529,0.482,0.485,0.488,0.675,0.551
Orleans,Marijuana,0.061,not available,0.087,0.057,not available,not available,not available,not available,not available,0.075
Orleans,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Orleans,Opioids,0.273,0.216,0.221,0.287,0.404,0.411,0.437,0.456,0.265,0.365
Orleans,Other,not available,not available,not available,0.074,not available,not available,not available,not available,not available,not available
Otis,Alcohol,0.4,0.737,0.55,0.5,0.692,0.304,0.52,not available,0.444,0.688
Otis,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Otis,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Otis,Opioids,not available,not available,not available,not available,not available,0.435,0.32,not available,0.389,0.25
Otis,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Oxford,Alcohol,0.551,0.641,0.5,0.619,0.514,0.476,0.374,0.368,0.301,0.347
Oxford,Marijuana,0.081,0.078,0.112,0.072,0.082,0.077,0.123,0.092,0.074,0.06
Oxford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Oxford,Opioids,0.272,0.211,0.351,0.237,0.322,0.406,0.447,0.487,0.589,0.557
Oxford,Other,not available,not available,not available,0.05,0.068,not available,0.045,not available,0.037,not available
Palmer,Alcohol,0.514,0.57,0.5,0.442,0.444,0.398,0.521,0.452,0.442,0.348
Palmer,Marijuana,not available,0.055,0.089,0.058,0.061,not available,0.055,0.051,0.049,0.04
Palmer,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Palmer,Opioids,0.407,0.328,0.339,0.376,0.378,0.522,0.384,0.452,0.487,0.586
Palmer,Other,0.043,not available,0.054,0.094,0.117,0.038,not available,0.038,not available,not available
Paxton,Alcohol,0.5,0.5,0.5,0.552,0.379,0.5,0.5,0.708,0.407,0.261
Paxton,Marijuana,not available,not available,not available,not available,0.207,not available,not available,not available,not available,not available
Paxton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Paxton,Opioids,not available,0.346,not available,not available,0.207,0.45,0.269,not available,0.407,0.63
Paxton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Peabody,Alcohol,0.327,0.366,0.326,0.332,0.363,0.358,0.315,0.378,0.423,0.315
Peabody,Marijuana,0.041,0.061,0.052,0.04,0.029,0.072,0.072,0.047,0.044,0.055
Peabody,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Peabody,Opioids,0.548,0.493,0.529,0.563,0.546,0.506,0.532,0.519,0.478,0.583
Peabody,Other,0.084,0.08,0.092,0.063,0.059,0.064,0.081,0.056,0.054,0.047
Pelham,Alcohol,not available,0.571,0.5,0.429,not available,0.5,not available,not available,not available,not available
Pelham,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pelham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pelham,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pelham,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pembroke,Alcohol,0.642,0.487,0.464,0.467,0.482,0.496,0.318,0.408,0.358,0.365
Pembroke,Marijuana,not available,not available,0.029,0.05,0.048,0.035,0.022,0.02,0.033,not available
Pembroke,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pembroke,Opioids,0.235,0.424,0.421,0.447,0.423,0.443,0.625,0.549,0.568,0.585
Pembroke,Other,0.074,0.051,0.077,0.03,not available,not available,not available,not available,0.025,0.031
Pepperell,Alcohol,0.317,0.462,0.533,0.507,0.485,0.459,0.514,0.299,0.246,0.28
Pepperell,Marijuana,0.059,not available,0.089,not available,not available,not available,not available,not available,not available,not available
Pepperell,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pepperell,Opioids,0.584,0.374,0.311,0.366,0.382,0.377,0.351,0.644,0.737,0.659
Pepperell,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Peru,Alcohol,0.7,not available,not available,0.5,0.727,0.429,0.692,0.667,not available,not available
Peru,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Peru,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Peru,Opioids,not available,not available,not available,not available,not available,0.429,not available,not available,not available,not available
Peru,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Petersham,Alcohol,not available,not available,not available,not available,not available,0.636,not available,not available,not available,not available
Petersham,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Petersham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Petersham,Opioids,not available,not available,0.583,not available,not available,not available,not available,not available,not available,not available
Petersham,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Philliipston,Alcohol,0.5,0.55,0.48,0.8,not available,not available,0.7,0.545,0.7,not available
Philliipston,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Philliipston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Philliipston,Opioids,not available,not available,0.4,not available,not available,not available,not available,not available,not available,0.636
Philliipston,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Pittsfield,Alcohol,0.48,0.451,0.496,0.494,0.593,0.592,0.652,0.583,0.465,0.455
Pittsfield,Marijuana,0.089,0.078,0.059,0.072,0.072,0.08,0.081,0.054,0.062,0.041
Pittsfield,None,0.059,0.134,0.128,0.132,not available,not available,not available,not available,not available,not available
Pittsfield,Opioids,0.248,0.235,0.225,0.209,0.256,0.248,0.199,0.3,0.429,0.459
Pittsfield,Other,0.123,0.101,0.093,0.093,0.079,0.08,0.067,0.064,0.044,0.045
Plainfield,Alcohol,0.684,0.538,0.476,0.4,not available,not available,not available,not available,not available,not available
Plainfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Plainfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Plainfield,Opioids,not available,not available,0.333,0.533,not available,0.467,0.615,not available,0.75,not available
Plainfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Plainville,Alcohol,0.593,0.587,0.53,0.457,0.487,0.512,0.405,0.479,0.459,0.403
